02.53.51.989259,SB11,login,
02.55.09.058245,SB11,words,2,
02.55.09.094124,SB11,words,2,
02.55.09.138477,SB11,words,2,
02.55.09.169556,SB11,words,2,
02.55.09.214855,SB11,words,2,
02.55.09.244527,SB11,words,2,
02.55.09.297814,SB11,words,2,
02.55.09.327930,SB11,words,2,
02.55.09.357697,SB11,words,2,
02.55.09.400542,SB11,words,2,
02.55.09.431544,SB11,words,2,
02.55.09.465386,SB11,words,2,
02.55.09.516608,SB11,words,2,
02.55.09.540665,SB11,words,2,
02.55.09.594825,SB11,words,2,
02.55.09.621881,SB11,words,2,
02.55.09.656975,SB11,words,2,
02.55.09.701093,SB11,words,2,
02.55.09.736186,SB11,words,2,
02.55.09.765264,SB11,words,2,
02.55.09.806388,SB11,words,2,
02.55.09.848485,SB11,words,2,
02.55.09.892621,SB11,words,2,
02.55.09.922681,SB11,words,2,
02.55.09.952761,SB11,words,2,
02.55.09.995520,SB11,words,2,
02.55.10.030278,SB11,words,2,
02.55.10.073486,SB11,words,2,
02.55.10.110965,SB11,words,2,
02.55.10.141331,SB11,words,2,
02.55.10.173465,SB11,words,2,
02.55.10.218467,SB11,words,2,
02.55.10.264644,SB11,words,2,
02.55.10.297611,SB11,words,2,
02.55.10.321875,SB11,words,2,
02.55.10.360066,SB11,words,2,
02.55.10.401839,SB11,words,2,
02.55.10.431503,SB11,words,2,
02.55.10.483258,SB11,words,2,
02.55.10.513856,SB11,words,2,
02.55.10.547105,SB11,words,2,
02.55.10.588712,SB11,words,2,
02.55.10.620637,SB11,words,2,
02.58.17.905252,SB11,login,
02.58.30.651803,SB11,words ,1,
02.58.31.182874,SB11,words ,1,
02.58.31.223869,SB11,words ,1,
02.58.31.263819,SB11,words ,1,
02.58.31.298578,SB11,words ,1,
02.58.31.329608,SB11,words ,1,
02.58.31.370741,SB11,words ,1,
02.58.31.405819,SB11,words ,1,
02.58.31.452960,SB11,words ,1,
02.58.31.484017,SB11,words ,1,
02.58.31.515098,SB11,words ,1,
02.58.31.557211,SB11,words ,1,
02.58.31.590299,SB11,words ,1,
02.58.31.640451,SB11,words ,1,
02.58.31.667506,SB11,words ,1,
02.58.31.703613,SB11,words ,1,
02.58.31.745713,SB11,words ,1,
02.58.31.780805,SB11,words ,1,
02.58.31.829936,SB11,words ,1,
02.58.31.859041,SB11,words ,1,
02.58.31.892101,SB11,words ,1,
02.58.31.934612,SB11,words ,1,
02.58.31.969030,SB11,words ,1,
02.58.31.997550,SB11,words ,1,
02.58.32.041332,SB11,words ,1,
02.58.32.075273,SB11,words ,1,
02.58.32.110928,SB11,words ,1,
02.58.32.159211,SB11,words ,1,
02.58.32.204366,SB11,words ,1,
02.58.32.236222,SB11,words ,1,
02.58.32.268126,SB11,words ,1,
02.58.32.308117,SB11,words ,1,
02.58.32.344732,SB11,words ,1,
02.58.32.371814,SB11,words ,1,
